#CG_type charge(e)
    1    0.000
    2    1.000
    3    0.000
    4    0.000
    5    0.500
    6    0.500
    7    0.500
    8    0.500
    9    0.500
   10    0.500
   11    0.000
   12    0.000
   13    0.000
   14   -1.000
   15    0.000
   16    1.000
   17    0.000
   18    1.000
   19   -1.000
   20    0.000
   21    0.000
   22    0.000
   23    0.000
   24    1.000
   25    0.000
   26    0.000
   27    0.000
   28    0.000
   29    0.000
   30    0.000
   31    0.000
   32    1.000
   33   -1.000
   34    0.000
   35    0.000
   36   -1.000
   37    0.000
   38    0.000
   39    0.000
   40    0.000
   41    0.000
   42    0.000
   43   -1.000
   44    0.000
   45    1.000
   46   -1.000
   47    0.000
   48    0.000
   49    1.000
   50    0.000
   51    0.000
   52    0.000
   53    1.000
   54    0.000
